,order,family,genus,species,plant_symmetry,infloresence,,Plant symmetry,location_number,primary_check,
geranium,,,,,,,,,L5,,
agastache,lamiales,lamiaceae,agastache,mexicana,BL,C,,,L6,,
butterfly_weed,gentianales,apocynaceae,asclepias,tuberosa,R,D,,,L6,,
moonbeam,asterales,asteraceae,coreopsis,verticillata,R,B,,,L6,,
tansy,asterales,asteraceae,tanacetum,vulgare,R,B,,,L6,,
veronica,lamiales,plantaginaceae,veronica,spicata,BL,C,,,L6,,
white_sweet_clover,fabales,fabaceae,melilotus,albus,BL,C,,,L6,,
crocosmia,asparagales,iridaceae,crocosmia,spp,R,C,,,L7,,
fennel,apiales,apiaceae,foeniculum,vulgare,R,D,,,L7,,
fireweed,myrtales,onagraceae,chameanerion,angustifolium,R,C,,,L7,,
hardy_fuchsia,myrtales,onagraceae,fuchsia,spp,R,C,,,L7,,
purple_coneflower,aterales,asteraceae,echinacea,purpurea,R,B,,,L7,,
purple_toadflax,laminales,phantaginaceae,linaria,purpurea,BL,C,,,L7,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,L7,,
fennel,apiales,apiaceae,foeniculum,vulgare,R,D,,,L8,,
sunflower,asterales,asteraceae,helianthus,spp,R,B,,,L8,,
geranium,geraniales,geraniaceae,geranium,spp,R,A,,,L9,,
horseweed,asterales,asteraceae,erigeron,canadensis,R,B,,,L9,,
bell_flower,asterales,campanulaceae,campanula,spp,R,C,,,S0,,
lacy_phacelia,boraginales,boraginaceae,phacelia,tanacetifolia,R,D,,,S0,,
mountain_bluet,asterales,asteraceae,centaurea,montana,R,B,,,S0,,
oxeye_daisy,asterales,asteracea,leucanthemum,vulgare,R,B,,,S0,,
western_wallflower,brassicales,brassicaceae,erysimum,capitatum,R,C,,,S0,,
wild_wall_rocket,brassicales,brassicaceae,diplotaxis,tenuifolia,R,C,,,S0,,
bachelor_button,asterales,asteraceae,centaurea,cyanus,R,B,,,S1,,
borage,boraginales,boraginaceae,borago,officinalis,R,D,,,S1,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S1,,
dandelion,asterales,asteracea,taraxacum,spp,R,B,,,S1,,
forget_me_not,boraginales,boraginaceae,myosotis,syleatica,R,D,,,S1,,
lacy_phacelia,boraginales,boraginaceae,phacelia,tanacetifolia,R,D,,,S1,,
mountain_bluet,asterales,asteraceae,centaurea,montana,R,B,,,S1,,
wallflower,brassicales,brassicaceae,erysimum,spp,R,C,,,S1,,
wild_radish,brassicales,brassicaceae,raphanus,raphanistrum,R,C,,,S1,,
wild_wall_rocket,brassicales,brassicaceae,diplotaxis,tenuifolia,R,C,,,S1,,
willow_herb,myrtales,onagraceae,epilobium,spp,R,C,,,S1,,
bachelor_button,asterales,asteraceae,centaurea,cyanus,R,B,,,S10,,
black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,R,B,,,S10,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S10,,
horseweed,asterales,asteraceae,erigeron,canadensis,R,B,,,S10,,
rocket_larkspur,ranunculales,ranunculaceae,delphinium,spp,BL,C,,,S10,,
rose_campion,caryophyllales,caryophyllaceae,silene,coronaria,R,D,,,S10,,
sweet_alyssum,brassicales,brassicaceae,lobularia,maritima,R,C,,,S10,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,S10,,
bachelor_button,asterales,asteraceae,centaurea,cyanus,R,B,,,S2,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S2,,
dandelion,asterales,asteracea,taraxacum,spp,R,B,,,S2,,
forget_me_not,boraginales,boraginaceae,myosotis,syleatica,R,D,,,S2,,
lily,lilales,lilaceae,lilium,spp,R,C,,,S2,,
rocket_larkspur,ranunculales,ranunculaceae,delphinium,spp,BL,C,,,S2,,
slender_vervian,lamiales,verbenaceae,verbena,rigida,BL,C,,,S2,,
dandelion,asterales,asteracea,taraxacum,spp,R,B,,,S3,,
globe_gilia,ericales,polemoniaceae,gilia,capitata,R,D,,,S3,,
pink_clover,fabales,fabaceae,trifolium,spp,BL,C,,,S3,,
pink_poppy,ranunculales,papeveraceae,papaver,rhoeas,R,A,,,S3,,
red_poppy,ranunculales,papeveraceae,papaver,rhoeas,R,A,,,S3,,
rose_campion,caryophyllales,caryophyllaceae,silene,coronaria,R,D,,,S3,,
allium,asparagales,amarylidaceae,allium,spp,R,D,,,S4,,
bachelor_button,asterales,asteraceae,centaurea,cyanus,R,B,,,S4,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S4,,
cow_vetch,fabales,fabaceae,vicia,cracca,BL,A,,,S4,,
mush_mallow,malvales,malvaceae,malva,moschata,R,C,,,S4,,
rose_campion,caryophyllales,caryophyllaceae,silene,coronaria,R,D,,,S4,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,S4,,
bachelor_button,asterales,asteraceae,centaurea,cyanus,R,B,,,S5,,
bergamot,lamiales,lamiaceae,monarda,fistulosa,BL,D,,,S5,,
black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,R,B,,,S5,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S5,,
cow_vetch,fabales,fabaceae,vicia,cracca,BL,A,,,S5,,
gladiolus,asparagales,iridaceae,gladiolus,spp,R,C,,,S5,,
lily,lilales,lilaceae,lilium,spp,R,C,,,S5,,
mush_mallow,malvales,malvaceae,malva,moschata,R,C,,,S5,,
willow_herb,myrtales,onagraceae,epilobium,spp,R,C,,,S5,,
yarrow,asterales,asteraceae,achillea,millefolium,R,B,,,S5,,
cow_vetch,fabales,fabaceae,vicia,cracca,BL,A,,,S6,,
gladiolus,asparagales,iridaceae,gladiolus,spp,R,C,,,S6,,
red_poppy,ranunculales,papeveraceae,papaver,rhoeas,R,A,,,S6,,
black_eyed_susan,asterales,asteraceae,rudbeckia,hirta,R,B,,,S7,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S7,,
canada_goldenrod,asterales,asteraceae,solidago,canadensis,R,B,,,S7,,
horseweed,asterales,asteraceae,erigeron,canadensis,R,B,,,S7,,
sunflower,asterales,asteraceae,helianthus,spp,R,B,,,S7,,
wall_lettuce,asterales,asteraceae,lactuca,muralis,R,B,,,S7,,
western_wallflower,brassicales,brassicaceae,erysimum,capitatum,R,C,,,S7,,
california_poppy,ranunculales,papveraceae,eschscholzia,californica,R,A,,,S8,,
